wordStem,wordFunction,value,pos
fehlschlagen,VAL,-0.7,VERB
vermindern,INT,0.5,VERB
aufhören,SHI,0,VERB
beenden,SHI,0,VERB
beliebt,VAL,0.7,ADJ
gewöhnungsbedürftig,VAL,-0.5,ADJ
lecker,VAL,0.7,ADJ
miserabel,VAL,-0.5,ADJ
säuerlich,VAL,-0.5,ADJ
spitze,VAL,1.0,ADJ
spritzig,VAL,0.5,ADJ
süffig,VAL,0.5,ADJ
undefinierbar,VAL,-0.7,ADJ
wohlriechend,VAL,0.7,ADJ
wohlschmeckend,VAL,0.7,ADJ
würzig,VAL,0.5,ADJ
abflauen,SHI,0,VERB
bewältigen,SHI,0,VERB
nie,SHI,0,ADV
nix,SHI,0,ADV
besonders,INT,2.0,ADJ
Extremist,VAL,-1.0,NOUN
Nullpunkt,VAL,-0.7,NOUN
Plagiat,VAL,-0.7,NOUN
fertigbringen,VAL,0.7,VERB
keinsterweise,SHI,0,ADV
keinerweise,SHI,0,ADV
Ablehnung,VAL,-0.7,NOUN
Scheitern,VAL,-1.0,NOUN
scheitern,VAL,-1.0,VERB
Schwierigkeit,VAL,-0.7,NOUN
ständig,INT,2.0,ADJ
Selbstanklage,VAL,-1.0,NOUN
Selbstwertgefühl,VAL,1.0,NOUN
Unterstützung,VAL,1.0,NOUN
Hilfe,VAL,1.0,NOUN
Fresse,VAL,-1.0,NOUN
Bereicherung,VAL,0.7,NOUN
völlig,INT,2.0,ADJ
Fehler,VAL,-0.7,NOUN
leider,VAL,-0.7,ADJ
niemals,SHI,0,ADJ
stinklangweilig,VAL,-1.0,ADJ
streiten,VAL,-1.0,VERB
Problem,VAL,-1.0,NOUN
ramponieren,VAL,-1.0,VERB
Desaster,VAL,-1.0,NOUN
Schlappe,VAL,-0.7,NOUN
Rückgang,VAL,-0.7,NOUN
nichts,SHI,0,ADV
beeindrucken,VAL,0.7,VERB
beeindruckt,VAL,0.7,ADJ
beindrucken,VAL,0.7,VERB
Selbstzweifel,VAL,-1.0,NOUN
selbstbewusst,VAL,1.0,ADJ
selbstbewußt,VAL,1.0,ADJ
schwer,VAL,-0.5,ADJ
steigend,VAL,0.7,ADJ
Rückschlag,VAL,-1.0,NOUN
befürchten,VAL,-1.0,VERB
einzigartig,VAL,1.0,ADJ
ausbauen,VAL,0.5,VERB
abschwächen,INT,0.5,VERB
trotzen,SHI,0,VERB
ohne,SHI,0,ADV
absacken,VAL,-0.7,VERB
sacken,VAL,-0.7,VERB
Erfolgssträhne,VAL,0.7,NOUN
Tod,VAL,-1.0,NOUN
fast,INT,0.5,ADJ
retten,VAL,0.7,VERB
überraschen,VAL,0.7,VERB
profitieren,VAL,1.0,VERB
weniger,INT,0.5,ADJ
wenig,INT,0.5,ADJ
steigern,INT,2.0,VERB
deutlich,VAL,1.0,ADJ
Gewinn,VAL,1.0,NOUN
sehr,INT,3.0,ADJ
vorheucheln,VAL,-1.0,VERB
Verwöhnung,VAL,0.7,NOUN
Mordanschlag,VAL,-1.0,NOUN
Allergie,VAL,-1.0,NOUN
Krankengymnastik,VAL,0.7,NOUN
Racheakt,VAL,-1.0,NOUN
