wordStem,wordFunction,value,pos
aufgeben,VAL,-0.4,VERB
verlassen,VAL,-0.4,VERB
entführen,VAL,-0.4,VERB
Entführung,VAL,-0.4,NOUN
verabscheuen,VAL,-0.6,VERB
Fähigkeit,VAL,0.4,NOUN
abwesend,VAL,-0.2,ADJ
entlassen,VAL,0.4,VERB
freisprechen,VAL,0.4,VERB
absolvieren,VAL,0.4,VERB
Absolvierung,VAL,0.4,NOUN
absorbieren,VAL,0.2,VERB
missbrauchen,VAL,-0.6,VERB
akzeptieren,VAL,0.2,VERB
Unfall,VAL,-0.4,NOUN
versehentlich,VAL,-0.4,ADJ
vollenden,VAL,0.4,VERB
vollbringen,VAL,0.4,VERB
Anschuldigung,VAL,-0.4,NOUN
anklagen,VAL,-0.4,NOUN
beschuldigen,VAL,-0.4,VERB
Schmerzen,VAL,-0.4,NOUN
erreichbar,VAL,0.2,ADJ
erbittert,VAL,-0.6,ADJ
aktiv,VAL,0.2,ADJ
anmessen,VAL,0.2,ADJ
bewundern,VAL,0.6,VERB
zugeben,VAL,-0.2,VERB
ermahnen,VAL,-0.4,VERB
adoptieren,VAL,0.2,VERB
anbetungswürdig,VAL,0.6,ADJ
verehren,VAL,0.6,VERB
fortschreiten,VAL,0.2,VERB
Vorteil,VAL,0.4,NOUN
Abenteuer,VAL,0.4,NOUN
abenteuerlich,VAL,0.4,ADJ
betreffen,VAL,-0.2,VERB
Zuneigung,VAL,0.6,NOUN
anhänglich,VAL,0.6,ADJ
beleidigen,VAL,-0.4,VERB
beunruhigen,VAL,-0.2,VERB
ängstlich,VAL,-0.4,ADJ
verschlimmern,VAL,-0.4,VERB
Aggression,VAL,-0.4,NOUN
aggressiv,VAL,-0.4,ADJ
erschrecken,VAL,-0.4,VERB
agonisiert,VAL,-0.6,ADJ
agonisieren,VAL,-0.6,VERB
quälen,VAL,-0.6,VERB
qualvoll,VAL,-0.6,ADJ
Qual,VAL,-0.6,NOUN
zustimmen,VAL,0.2,VERB
einverstanden,VAL,0.2,ADJ
Zustimmung,VAL,0.2,NOUN
alarmieren,VAL,-0.4,VERB
Alarmist,VAL,-0.4,NOUN
Alarmisten,VAL,-0.4,NOUN
leider,VAL,-0.2,ADV
Entfremdung,VAL,-0.4,NOUN
entfremden,VAL,-0.4,VERB
lebendig,VAL,0.2,ADJ
allergisch,VAL,-0.4,ADJ
erlauben,VAL,0.2,VERB
allein,VAL,-0.4,ADJ
verblüffen,VAL,0.4,VERB
erstaunen,VAL,0.4,ADJ
erstaunlich,VAL,0.8,ADJ
ehrgeizig,VAL,0.4,ADJ
ambivalent,VAL,-0.2,ADJ
amüsieren,VAL,0.6,VERB
Belustigung,VAL,0.6,NOUN
Vergnügung,VAL,0.6,NOUN
Wut,VAL,-0.6,NOUN
wüten,VAL,-0.6,VERB
wütend,VAL,-0.6,ADJ
Verärgerung,VAL,-0.6,NOUN
verärgern,VAL,-0.6,ADJ
Feindseligkeit,VAL,-0.4,NOUN
ärgern,VAL,-0.4,VERB
antagonistisch,VAL,-0.4,ADJ
Vorfreude,VAL,0.2,NOUN
apathisch,VAL,-0.6,ADJ
Apathie,VAL,-0.6,NOUN
apokalyptisch,VAL,-0.4,ADJ
entschuldigen,VAL,-0.2,VERB
entsetzen,VAL,-0.4,VERB
beschwichtigen,VAL,0.4,VERB
besänftigen,VAL,0.4,VERB
applaudieren,VAL,0.4,VERB
schätzen,VAL,0.4,VERB
Wertschätzung,VAL,0.4,NOUN
genehmigen,VAL,0.4,VERB
befürworten,VAL,0.4,VERB
eifrig,VAL,0.2,ADJ
verhaften,VAL,-0.4,VERB
arrogant,VAL,-0.4,ADJ
schämen,VAL,-0.4,VERB
Arsch,VAL,-0.8,NOUN
Meuchelmord,VAL,-0.6,NOUN
Attentat,VAL,-0.6,NOUN
Vermögenswert,VAL,0.4,NOUN
Arschloch,VAL,-0.8,NOUN
angreifen,VAL,-0.2,VERB
anziehen,VAL,0.2,VERB
Anziehung,VAL,0.4,NOUN
locken,VAL,0.2,VERB
kühn,VAL,0.6,ADJ
Autorität,VAL,0.2,NOUN
abwenden,VAL,-0.2,VERB
vermeiden,VAL,-0.2,VERB
abwarten,VAL,-0.2,VERB
erwarten,VAL,-0.2,VERB
vergeben,VAL,0.6,VERB
belohnen,VAL,0.6,VERB
furchtbar,VAL,-0.8,ADJ
peinlich,VAL,-0.4,ADJ
Axt,VAL,-0.2,NOUN
beiläufig,VAL,-0.2,ADJ
unterstützen,VAL,0.2,VERB
rückwärts,VAL,0.4,ADJ
zurück,VAL,0.2,ADJ
schlecht,VAL,-0.6,ADJ
knallhart,VAL,-0.6,ADJ
Rettungsaktion,VAL,-0.4,NOUN
verbieten,VAL,-0.4,VERB
verbannen,VAL,-0.2,VERB
bankrott,VAL,-0.6,ADJ
Bankraub,VAL,-0.6,NOUN
Bankräuber,VAL,-0.6,NOUN
Schnäppchen,VAL,0.4,NOUN
Sperre,VAL,-0.4,NOUN
Bastard,VAL,-1.0,NOUN
Schlacht,VAL,-0.2,NOUN
